Project Name,BHK,price,Possession Status (Ready / Under Construction),amenities,propertyImages,fullAddress,Title,City,Locality,City + Locality
Swaroop Aditya Avenue,Office,₹1.5 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417348-9bfc082c0bba270f.jpg""","Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Swaroop Aditya Avenue Office,Mumbai,Avenue Ashoknagar Chembur,Mumbai - Avenue Ashoknagar Chembur
Marigold miraaya ,2BHK,₹89.0 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-3b21d5295d1b7bce.jpg""","Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",Marigold miraaya  2BHK,Mumbai,Miraaya  Ashoknagar Chembur,Mumbai - Miraaya  Ashoknagar Chembur
Marigold miraaya ,2BHK,₹1.0 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-19520d6cb5866f61.jpg""","Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",Marigold miraaya  2BHK,Mumbai,Miraaya  Ashoknagar Chembur,Mumbai - Miraaya  Ashoknagar Chembur
Marigold miraaya ,2BHK,₹1.0 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-18d491c4116a4a1d.jpg""","Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",Marigold miraaya  2BHK,Mumbai,Miraaya  Ashoknagar Chembur,Mumbai - Miraaya  Ashoknagar Chembur
Marigold miraaya ,3BHK,₹1.5 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866055-12dde6891b923a80.jpg""","Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",Marigold miraaya  3BHK,Mumbai,Miraaya  Ashoknagar Chembur,Mumbai - Miraaya  Ashoknagar Chembur
Balaji Kanha	,1BHK,₹41.9 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672775-37d2dedeb898bfd3.jpg""",64C5+C63 Dombivli East Dombivli Maharashtra 421301,Balaji Kanha	 1BHK,Mumbai, Ashoknagar Chembur,Mumbai -  Ashoknagar Chembur
Balaji Kanha	,2BHK,₹57.7 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672776-55a3d0d5d7d3bb44.jpg""",64C5+C63 Dombivli East Dombivli Maharashtra 421301,Balaji Kanha	 2BHK,Mumbai, Ashoknagar Chembur,Mumbai -  Ashoknagar Chembur
Bhoomi antara ,2BHK,₹1.7 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089520-1fd3665afc1a746a.jpg""","3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",Bhoomi antara  2BHK,Mumbai,Antara  Ashoknagar Chembur,Mumbai - Antara  Ashoknagar Chembur
Bhoomi antara ,2BHK,₹2.4 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089524-f866cded7e572242.jpg""","3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",Bhoomi antara  2BHK,Mumbai,Antara  Ashoknagar Chembur,Mumbai - Antara  Ashoknagar Chembur
Bhoomi antara ,3BHK,₹3.7 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089525-9e16be48ea1c5dca.jpg""","3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",Bhoomi antara  3BHK,Mumbai,Antara  Ashoknagar Chembur,Mumbai - Antara  Ashoknagar Chembur
Arkade Prime,1BHK,₹1.2 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900105-0cd46f586c660d51.jpg""","Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Arkade Prime 1BHK,Mumbai,Prime Ashoknagar Chembur,Mumbai - Prime Ashoknagar Chembur
Arkade Prime,2BHK,₹1.7 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900106-3270032d1b3b29a6.jpg""","Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Arkade Prime 2BHK,Mumbai,Prime Ashoknagar Chembur,Mumbai - Prime Ashoknagar Chembur
Arkade Prime,Office space,₹2.1 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900108-5b7ad0636af0eef0.jpg""","Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Arkade Prime Office space,Mumbai,Prime Ashoknagar Chembur,Mumbai - Prime Ashoknagar Chembur
Glory,2BHK,₹6.7 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263441-db4005e8699b54f5.jpg"""," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033",Glory 2BHK,Pune,Katewasti Punawale,Pune - Katewasti Punawale
Glory,3BHK,₹8.6 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263443-efccc3b7b11a9cf6.jpg"""," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033",Glory 3BHK,Pune,Katewasti Punawale,Pune - Katewasti Punawale
Glory,3BHK,₹9.6 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263445-61ad0a336e5cd7e8.jpg"""," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033",Glory 3BHK,Pune,Katewasti Punawale,Pune - Katewasti Punawale
Antriksh,1BHK,₹56.49 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991482-830ba2f79d951b2a.jpg""","CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Antriksh 1BHK,Pune,Somwarpeth Camp,Pune - Somwarpeth Camp
Antriksh,2BHK,₹1.43 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991494-9ac904a02c4e153c.jpg""","CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Antriksh 2BHK,Pune,Somwarpeth Camp,Pune - Somwarpeth Camp
Antriksh,2BHK,₹1.89 Cr,UNDER_CONSTRUCTION,Unknown,,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Antriksh 2BHK,Pune,Somwarpeth Camp,Pune - Somwarpeth Camp
Antriksh,3BHK,₹2.29 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991505-2373b8e162de669f.jpg""","CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Antriksh 3BHK,Pune,Somwarpeth Camp,Pune - Somwarpeth Camp
16 Lakaki,4.5BHK,₹5.58 Cr,UNDER_CONSTRUCTION,sdfghgvbndfgh,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757488967185-54cee65e85919c06.jpg""","1102/A/48, Lakaki Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016",16 Lakaki 4.5BHK,Pune,Modelcolony Shivajinagar,Pune - Modelcolony Shivajinagar
Dinmanee ,3BHK,₹2.54 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757495874342-f91c6d45130b2367.jpg""","Dinmanee, Squadron Leader Sureshchandra Bhagwat Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016",Dinmanee  3BHK,Pune, Modelcolony Shivajinagar,Pune -  Modelcolony Shivajinagar
Zoa Building - 2 Wing A,1BHK,₹74.99 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757497751961-e4b9f6b35ff84fc4.jpg""","Sr.no.36 Zoa, keshav nagar,Neatr renuka mata Temple Mundhwa, pune 411036",Zoa Building - 2 Wing A 1BHK,Pune,2 Wing A Keshavnagar Mundhwa,Pune - 2 Wing A Keshavnagar Mundhwa
Zoa Building - 2 Wing A,2BHK,₹1.41 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757497751962-181b9fb00f69e030.jpg""","Sr.no.36 Zoa, keshav nagar,Neatr renuka mata Temple Mundhwa, pune 411036",Zoa Building - 2 Wing A 2BHK,Pune,2 Wing A Keshavnagar Mundhwa,Pune - 2 Wing A Keshavnagar Mundhwa
Leela by Empyrean Landmarks - Phase 1 & 2,2BHK,₹1.36 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757499882366-5ff9be2083ac3230.jpg""","Survey no. 18-19, plot no. p7, river road, Thite Nagar, Kharadi, Pune, Maharashtra 411014",Leela by Empyrean Landmarks - Phase 1 & 2 2BHK,Pune,Empyrean Landmar Thitenagar Kharadi,Pune - Empyrean Landmar Thitenagar Kharadi
Leela by Empyrean Landmarks - Phase 1 & 2,3BHK,₹1.39 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757499882368-39d519773fe47182.jpg""","Survey no. 18-19, plot no. p7, river road, Thite Nagar, Kharadi, Pune, Maharashtra 411014",Leela by Empyrean Landmarks - Phase 1 & 2 3BHK,Pune,Empyrean Landmar Thitenagar Kharadi,Pune - Empyrean Landmar Thitenagar Kharadi
Midori Towers,2BHK,₹6.68 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757502445783-07ddd86f8b94a188.jpg""","Sai Nagar, Mamurdi, Dehu Road, Maharashtra 412101",Midori Towers 2BHK,Pune,Modelcolony Shivajinagar,Pune - Modelcolony Shivajinagar
Kedar Residency,1BHK,₹3.04 Cr,READY_TO_MOVE,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757505674367-357debf889702320.jpg""","MP78+P45, St Tukaram Nagar, Mamurdi, Dehu Road, Maharashtra 412101",Kedar Residency 1BHK,Pune,Modelcolony Shivajinagar,Pune - Modelcolony Shivajinagar
Kedar Residency,2BHK,₹4.9 Cr,READY_TO_MOVE,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757505674385-88d968255a68bec4.jpg""","MP78+P45, St Tukaram Nagar, Mamurdi, Dehu Road, Maharashtra 412101",Kedar Residency 2BHK,Pune,Modelcolony Shivajinagar,Pune - Modelcolony Shivajinagar
Sonai Clara,2BHK,₹79.16 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757507025374-6b9222f0e2694408.jpg""","BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",Sonai Clara 2BHK,Pune,Brtlinkrd Ravet,Pune - Brtlinkrd Ravet
Sonai Clara,2BHK,₹76.24 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757507025375-b7d209814ec2b899.jpg"",""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757573877398-e4d685da0a0dfae1.jpg""","BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",Sonai Clara 2BHK,Pune,Brtlinkrd Ravet,Pune - Brtlinkrd Ravet
Sonai Clara,3BHK,₹99.0 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757507025385-aedb0110dffa5f27.jpg""","BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",Sonai Clara 3BHK,Pune,Brtlinkrd Ravet,Pune - Brtlinkrd Ravet
Sonai Clara,3BHK,₹1.1 Cr,UNDER_CONSTRUCTION,Unknown,,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",Sonai Clara 3BHK,Pune,Brtlinkrd Ravet,Pune - Brtlinkrd Ravet
Santiago Skytown,2BHK,₹78.43 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757508627511-f415324344fe391c.jpg""","Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",Santiago Skytown 2BHK,Pune,Vikasnagar Ravet,Pune - Vikasnagar Ravet
Santiago Skytown,2BHK,₹80.37 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757508627515-f85803015d61e3d3.jpg""","Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",Santiago Skytown 2BHK,Pune,Vikasnagar Ravet,Pune - Vikasnagar Ravet
Santiago Skytown,3BHK,₹1.39 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757508627516-8162911bdda309f0.jpg""","Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",Santiago Skytown 3BHK,Pune,Vikasnagar Ravet,Pune - Vikasnagar Ravet
The silver altair ,2BHK,₹84.09 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757509935800-7ec66eb73cfad6b5.jpg""","The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",The silver altair  2BHK,Pune,Altair  Pcmc Ravet,Pune - Altair  Pcmc Ravet
The silver altair ,2BHK,₹88.85 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757509935801-4a6e51cf542453de.jpg""","The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",The silver altair  2BHK,Pune,Altair  Pcmc Ravet,Pune - Altair  Pcmc Ravet
The silver altair ,3BHK,₹1.1 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757509935802-e9fd330d696b020e.jpg""","The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",The silver altair  3BHK,Pune,Altair  Pcmc Ravet,Pune - Altair  Pcmc Ravet
testing,5BHK,₹1.01 Cr,READY_TO_MOVE,sdfghjhgfdfghjgfdfghgfgh,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758174623697-27c4f71a991e078c.jpg""",asdfgh,testing 5BHK,Pune,Shivajinagar,Pune - Shivajinagar
testing,2BHK,₹98.0 Cr,READY_TO_MOVE,sdfghjhgfdfghjgfdfghgfgh,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758174963765-07ee6ee92139cc03.jpeg""",asdfgh,testing 2BHK,Pune,Shivajinagar,Pune - Shivajinagar
testing,2BHK,₹12.0 Cr,READY_TO_MOVE,sdfghjhgfdfghjgfdfghgfgh,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758175122464-0dead4f474b5ccbc.jpg""",asdfgh,testing 2BHK,Pune,Shivajinagar,Pune - Shivajinagar
TESTING,4BHK,₹2.0 Cr,READY_TO_MOVE,PROJECT SUMMARY,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758450157413-fd5b7567dbd1a680.png""",ADDRESS,TESTING 4BHK,Pune,Camp,Pune - Camp
